"","no","title","artist","year"
"3759","58","Up Jumps da Boogie","Timbaland & Magoo featuring Missy Elliott and Aaliyah","1997"
"3760","59","I Don't Want To / I Love Me Some Him","Toni Braxton","1997"
"3761","60","Everyday Is a Winding Road","Sheryl Crow","1997"
"3762","61","Cold Rock a Party","MC Lyte","1997"
"3763","62","Pony","Ginuwine","1997"
"3764","63","Building a Mystery","Sarah McLachlan","1997"
"3765","64","I Love You Always Forever","Donna Lewis","1997"
"3766","65","Your Woman","White Town","1997"
"3767","66","C U When U Get There","Coolio featuring 40 Thevz","1997"
"3768","67","Change the World","Eric Clapton","1997"
"3769","68","My Baby Daddy","B-Rock and the Bizz","1997"
"3770","69","Tubthumping","Chumbawamba","1997"
"3771","70","Gotham City","R. Kelly","1997"
"3772","71","Last Night","Az Yet","1997"
"3773","72","The Jock Jam","Various Artists","1997"
"3774","73","Big Daddy","Heavy D","1997"
"3775","74","What About Us","Total","1997"
"3776","75","Smile","Scarface featuring 2Pac and Johnny P.","1997"
"3777","76","What's on Tonight","Montell Jordan","1997"
"3778","77","Secret Garden","Bruce Springsteen","1997"
"3779","78","The One I Gave My Heart To","Aaliyah","1997"
"3780","79","Fly Like an Eagle","Seal","1997"
"3781","80","No Time","Lil' Kim featuring Puff Daddy","1997"
"3782","81","Naked Eye","Luscious Jackson","1997"
"3783","82","Macarena (Bayside Boys Mix)","Los del Río","1997"
"3784","83","On & On","Erykah Badu","1997"
"3785","84","Don't Wanna Be a Player","Joe","1997"
"3786","85","I Shot the Sheriff","Warren G","1997"
"3787","86","You Should Be Mine (Don't Waste Your Time)","Brian McKnight featuring Mase","1997"
"3788","87","Don't Cry for Me Argentina","Madonna","1997"
"3789","88","Someone","SWV and Puff Daddy","1997"
"3790","89","Go the Distance","Michael Bolton","1997"
"3791","90","One More Time","Real McCoy","1997"
"3792","91","Butta Love","Next","1997"
"3793","92","Coco Jambo","Mr. President","1997"
"3794","93","Twisted","Keith Sweat","1997"
"3795","94","Barbie Girl","Aqua","1997"
"3796","95","When You're Gone / Free to Decide","The Cranberries","1997"
"3797","96","Let Me Clear My Throat","DJ Kool","1997"
"3798","97","I Like It","The Blackout All-Stars","1997"
"3799","98","You're Makin' Me High / Let It Flow","Toni Braxton","1997"
"3800","99","You Must Love Me","Madonna","1997"
"3801","100","Let It Go","Ray J","1997"
"3802","1","Too Close","Next","1998"
"3803","2","The Boy Is Mine","Brandy and Monica","1998"
"3804","3","You're Still the One","Shania Twain","1998"
"3805","4","Truly Madly Deeply","Savage Garden","1998"
"3806","5","How Do I Live","LeAnn Rimes","1998"
"3807","6","Together Again","Janet","1998"
"3808","7","All My Life","K-Ci & JoJo","1998"
"3809","8","Candle in the Wind 1997","Elton John","1998"
"3810","9","Nice & Slow","Usher","1998"
"3811","10","I Don't Want to Wait","Paula Cole","1998"
"3812","11","How's It Going to Be","Third Eye Blind","1998"
"3813","12","No, No, No","Destiny's Child","1998"
"3814","13","My Heart Will Go On","Celine Dion","1998"
"3815","14","Gettin' Jiggy wit It","Will Smith","1998"
"3816","15","You Make Me Wanna...","Usher","1998"
"3817","16","My Way","Usher","1998"
"3818","17","My All","Mariah Carey","1998"
"3819","18","The First Night","Monica","1998"
"3820","19","Been Around the World","Puff Daddy featuring The Notorious B.I.G. and Mase","1998"
"3821","20","Adia","Sarah McLachlan","1998"
"3822","21","Crush","Jennifer Paige","1998"
"3823","22","Everybody (Backstreet's Back)","Backstreet Boys","1998"
"3824","23","I Don't Want to Miss a Thing","Aerosmith","1998"
"3825","24","Body Bumpin' (Yippie-Yi-Yo)","Public Announcement","1998"
"3826","25","This Kiss","Faith Hill","1998"
"3827","26","I Don't Ever Want to See You Again","Uncle Sam","1998"
"3828","27","Let's Ride","Montell Jordan featuring Master P and Silkk the Shocker","1998"
"3829","28","Sex and Candy","Marcy Playground","1998"
"3830","29","Show Me Love","Robyn","1998"
"3831","30","A Song for Mama","Boyz II Men","1998"
"3832","31","What You Want","Mase featuring Total","1998"
"3833","32","Frozen","Madonna","1998"
"3834","33","Gone till November","Wyclef Jean","1998"
"3835","34","My Body","LSG","1998"
"3836","35","Tubthumping","Chumbawamba","1998"
"3837","36","Deja Vu (Uptown Baby)","Lord Tariq and Peter Gunz","1998"
"3838","37","I Want You Back","'N Sync","1998"
"3839","38","When the Lights Go Out","Five","1998"
"3840","39","They Don't Know","Jon B.","1998"
"3841","40","Make 'Em Say Uhh!","Master P featuring Fiend, Silkk the Shocker, Mia X and Mystikal","1998"
"3842","41","Make It Hot","Nicole featuring Missy Elliott and Mocha","1998"
"3843","42","Never Ever","All Saints","1998"
"3844","43","I Get Lonely","Janet Jackson featuring Blackstreet","1998"
"3845","44","Feel So Good","Mase featuring Kelly Price","1998"
"3846","45","Say It","Voices of Theory","1998"
"3847","46","Kiss the Rain","Billie Myers","1998"
"3848","47","Come with Me","Puff Daddy featuring Jimmy Page","1998"
"3849","48","Romeo and Juliet","Sylk-E. Fyne featuring Chill","1998"
"3850","49","It's All About Me","Mýa and Sisqo","1998"
"3851","50","I Will Come to You","Hanson","1998"
"3852","51","One Week","Barenaked Ladies","1998"
"3853","52","Swing My Way","K. P. & Envyi","1998"
"3854","53","The Arms of the One Who Loves You","Xscape","1998"
"3855","54","My Love Is the Shhh!","Somethin' for the People featuring Trina & Tamara","1998"
"3856","55","Daydreamin'","Tatyana Ali","1998"
"3857","56","We're Not Making Love No More","Dru Hill","1998"
"3858","57","Semi-Charmed Life","Third Eye Blind","1998"
"3859","58","I Do","Lisa Loeb","1998"
"3860","59","Lookin' at Me","Mase featuring Puff Daddy","1998"
"3861","60","Looking Through Your Eyes","LeAnn Rimes","1998"
"3862","61","Lately","Divine","1998"
"3863","62","Quit Playing Games (With My Heart)","Backstreet Boys","1998"
"3864","63","I Still Love You","Next","1998"
"3865","64","Time After Time","INOJ","1998"
"3866","65","Are You Jimmy Ray?","Jimmy Ray","1998"
"3867","66","Cruel Summer","Ace of Base","1998"
"3868","67","I Got the Hook Up","Master P featuring Sons of Funk","1998"
"3869","68","Victory","Puff Daddy featuring The Notorious B.I.G. and Busta Rhymes","1998"
"3870","69","Too Much","Spice Girls","1998"
"3871","70","Ghetto Supastar (That Is What You Are)","Pras Michel featuring Ol' Dirty Bastard and Mýa","1998"
"3872","71","How Deep Is Your Love","Dru Hill featuring Redman","1998"
"3873","72","Friend of Mine","Kelly Price featuring R. Kelly and Ron Isley","1998"
"3874","73","Turn It Up (Remix)/Fire It Up","Busta Rhymes","1998"
"3875","74","I'll Be","Edwin McCain","1998"
"3876","75","Ray of Light","Madonna","1998"
"3877","76","All for You","Sister Hazel","1998"
"3878","77","Touch It","Monifah","1998"
"3879","78","Money, Power & Respect","The LOX featuring DMX and Lil' Kim","1998"
"3880","79","Bitter Sweet Symphony","The Verve","1998"
"3881","80","Dangerous","Busta Rhymes","1998"
"3882","81","Spice Up Your Life","Spice Girls","1998"
"3883","82","Because of You","98 Degrees","1998"
"3884","83","The Mummers' Dance","Loreena McKennitt","1998"
"3885","84","All Cried Out","Allure featuring 112","1998"
"3886","85","Still Not a Player","Big Pun featuring Joe","1998"
"3887","86","The One I Gave My Heart To","Aaliyah","1998"
"3888","87","Foolish Games / You Were Meant for Me","Jewel","1998"
"3889","88","Love You Down","INOJ","1998"
"3890","89","Do for Love","2Pac featuring Eric Williams","1998"
"3891","90","Raise the Roof","Luke featuring No Good But So Good","1998"
"3892","91","Heaven","Nu Flavor","1998"
"3893","92","The Party Continues","Jermaine Dupri featuring Da Brat and Usher","1998"
"3894","93","Sock It 2 Me","Missy Elliott featuring Da Brat","1998"
"3895","94","Butta Love","Next","1998"
"3896","95","A Rose Is Still a Rose","Aretha Franklin","1998"
"3897","96","4 Seasons of Loneliness","Boyz II Men","1998"
"3898","97","Father","LL Cool J","1998"
"3899","98","Thinkin' Bout It","Gerald Levert","1998"
"3900","99","Nobody's Supposed to Be Here","Deborah Cox","1998"
"3901","100","Westside","TQ","1998"
"3902","1","Believe","Cher","1999"
"3903","2","No Scrubs","TLC","1999"
"3904","3","Angel of Mine","Monica","1999"
"3905","4","Heartbreak Hotel","Whitney Houston featuring Faith Evans and Kelly Price","1999"
"3906","5","...Baby One More Time","Britney Spears","1999"
"3907","6","Kiss Me","Sixpence None the Richer","1999"
"3908","7","Genie in a Bottle","Christina Aguilera","1999"
"3909","8","Every Morning","Sugar Ray","1999"
"3910","9","Nobody's Supposed to Be Here","Deborah Cox","1999"
"3911","10","Livin' la Vida Loca","Ricky Martin","1999"
"3912","11","Where My Girls At?","702","1999"
"3913","12","If You Had My Love","Jennifer Lopez","1999"
"3914","13","Slide","Goo Goo Dolls","1999"
"3915","14","Have You Ever?","Brandy","1999"
"3916","15","I Want It That Way","Backstreet Boys","1999"
"3917","16","I'm Your Angel","R. Kelly and Celine Dion","1999"
"3918","17","All Star","Smash Mouth","1999"
"3919","18","Angel","Sarah McLachlan","1999"
"3920","19","Smooth","Santana featuring Rob Thomas","1999"
"3921","20","Unpretty","TLC","1999"
"3922","21","Bills, Bills, Bills","Destiny's Child","1999"
"3923","22","Save Tonight","Eagle-Eye Cherry","1999"
"3924","23","Last Kiss","Pearl Jam","1999"
"3925","24","Fortunate","Maxwell","1999"
"3926","25","All I Have to Give","Backstreet Boys","1999"
"3927","26","Bailamos","Enrique Iglesias","1999"
"3928","27","What's It Gonna Be?!","Busta Rhymes featuring Janet","1999"
"3929","28","What It's Like","Everlast","1999"
"3930","29","Fly Away","Lenny Kravitz","1999"
"3931","30","Someday","Sugar Ray","1999"
"3932","31","Lately","Divine","1999"
"3933","32","That Don't Impress Me Much","Shania Twain","1999"
"3934","33","Wild Wild West","Will Smith featuring Dru Hill and Kool Moe Dee","1999"
"3935","34","Scar Tissue","Red Hot Chili Peppers","1999"
"3936","35","Heartbreaker","Mariah Carey featuring Jay-Z","1999"
"3937","36","I Still Believe","Mariah Carey","1999"
"3938","37","The Hardest Thing","98 Degrees","1999"
"3939","38","Summer Girls","LFO","1999"
"3940","39","Can I Get A...","Jay-Z featuring Amil and Ja Rule","1999"
"3941","40","Jumper","Third Eye Blind","1999"
"3942","41","Doo Wop (That Thing)","Lauryn Hill","1999"
"3943","42","Mambo No. 5","Lou Bega","1999"
"3944","43","Sweet Lady","Tyrese","1999"
"3945","44","It's Not Right but It's Okay","Whitney Houston","1999"
"3946","45","(God Must Have Spent) A Little More Time on You","'N Sync","1999"
"3947","46","Lullaby","Shawn Mullins","1999"
"3948","47","Anywhere","112 featuring Lil Zane","1999"
"3949","48","Tell Me It's Real","K-Ci & JoJo","1999"
"3950","49","Back 2 Good","Matchbox 20","1999"
"3951","50","808","Blaque","1999"
"3952","51","She's So High","Tal Bachman","1999"
"3953","52","She's All I Ever Had","Ricky Martin","1999"
"3954","53","Miami","Will Smith","1999"
"3955","54","Hands","Jewel","1999"
"3956","55","Who Dat","JT Money featuring Solé","1999"
"3957","56","Please Remember Me","Tim McGraw","1999"
"3958","57","From This Moment On","Shania Twain","1999"
"3959","58","Love Like This","Faith Evans","1999"
"3960","59","You","Jesse Powell","1999"
"3961","60","Trippin'","Total featuring Missy Elliott","1999"
"3962","61","If You","Silk","1999"
"3963","62","Ex-Factor","Lauryn Hill","1999"
"3964","63","Give It to You","Jordan Knight","1999"
"3965","64","Black Balloon","Goo Goo Dolls","1999"
"3966","65","Spend My Life with You","Eric Benét featuring Tamia","1999"
"3967","66","These Are the Times","Dru Hill","1999"
"3968","67","I Don't Want to Miss a Thing","Mark Chesnutt","1999"
"3969","68","I Do (Cherish You)","98 Degrees","1999"
"3970","69","Because of You","98 Degrees","1999"
"3971","70","I Will Remember You","Sarah McLachlan","1999"
"3972","71","Chanté's Got a Man","Chanté Moore","1999"
"3973","72","Happily Ever After","Case","1999"
"3974","73","My Love Is Your Love","Whitney Houston","1999"
"3975","74","All Night Long","Faith Evans featuring Puff Daddy","1999"
"3976","75","Back That Azz Up","Juvenile featuring Mannie Fresh and Lil Wayne","1999"
"3977","76","Almost Doesn't Count","Brandy","1999"
"3978","77","Man! I Feel Like a Woman!","Shania Twain","1999"
"3979","78","Steal My Sunshine","Len","1999"
"3980","79","I Need to Know","Marc Anthony","1999"
"3981","80","So Anxious","Ginuwine","1999"
"3982","81","Faded Pictures","Case featuring Joe","1999"
"3983","82","Back at One","Brian McKnight","1999"
"3984","83","When a Woman's Fed Up","R. Kelly","1999"
"3985","84","How Forever Feels","Kenny Chesney","1999"
"3986","85","Amazed","Lonestar","1999"
"3987","86","Sometimes","Britney Spears","1999"
"3988","87","Ghetto Cowboy","Mo Thugs","1999"
"3989","88","Out of My Head","Fastball","1999"
"3990","89","Hard Knock Life (Ghetto Anthem)","Jay-Z","1999"
"3991","90","Jamboree","Naughty by Nature featuring Zhané","1999"
"3992","91","Take Me There","Blackstreet featuring Mýa, Mase and Blinky Blink","1999"
"3993","92","Stay the Same","Joey McIntyre","1999"
"3994","93","A Lesson in Leavin'","Jo Dee Messina","1999"
"3995","94","Iris","Goo Goo Dolls","1999"
"3996","95","Satisfy You","Puff Daddy featuring R. Kelly","1999"
"3997","96","Better Days (And the Bottom Drops Out)","Citizen King","1999"
"3998","97","Music of My Heart","'N Sync and Gloria Estefan","1999"
"3999","98","Write This Down","George Strait","1999"
"4000","99","When You Believe","Whitney Houston and Mariah Carey","1999"
"4001","100","(God Must Have Spent) A Little More Time on You","Alabama and 'N Sync","1999"
"4002","1","Breathe","Faith Hill","2000"
"4003","2","Smooth","Santana featuring Rob Thomas","2000"
"4004","3","Maria Maria","Santana featuring The Product G&B","2000"
"4005","4","I Wanna Know","Joe","2000"
"4006","5","Everything You Want","Vertical Horizon","2000"
"4007","6","Say My Name","Destiny's Child","2000"
"4008","7","I Knew I Loved You","Savage Garden","2000"
"4009","8","Amazed","Lonestar","2000"
"4010","9","Bent","Matchbox Twenty","2000"
"4011","10","He Wasn't Man Enough","Toni Braxton","2000"
"4012","11","Higher","Creed","2000"
"4013","12","Try Again","Aaliyah","2000"
"4014","13","Jumpin', Jumpin'","Destiny's Child","2000"
"4015","14","Thong Song","Sisqó","2000"
"4016","15","Kryptonite","3 Doors Down","2000"
"4017","16","There You Go","Pink","2000"
"4018","17","Music","Madonna","2000"
"4019","18","Doesn't Really Matter","Janet Jackson","2000"
"4020","19","What a Girl Wants","Christina Aguilera","2000"
"4021","20","Back at One","Brian McKnight","2000"
"4022","21","Bye Bye Bye","'N Sync","2000"
"4023","22","You Sang to Me","Marc Anthony","2000"
"4024","23","I Need to Know","Marc Anthony","2000"
"4025","24","Get It On Tonite","Montell Jordan","2000"
"4026","25","Incomplete","Sisqó","2000"
"4027","26","I Try","Macy Gray","2000"
"4028","27","It's Gonna Be Me","'N Sync","2000"
"4029","28","That's The Way It Is","Celine Dion","2000"
"4030","29","Country Grammar (Hot Shit)","Nelly","2000"
"4031","30","Bring It All to Me","Blaque","2000"
"4032","31","Show Me the Meaning of Being Lonely","Backstreet Boys","2000"
"4033","32","Hot Boyz","Missy Elliott featuring Nas, Eve and Q-Tip","2000"
"4034","33","Back Here","BBMak","2000"
"4035","34","It Feels So Good","Sonique","2000"
"4036","35","Absolutely (Story of a Girl)","Nine Days","2000"
"4037","36","With Arms Wide Open","Creed","2000"
"4038","37","Be with You","Enrique Iglesias","2000"
"4039","38","Come On Over Baby (All I Want Is You)","Christina Aguilera","2000"
"4040","39","No More","Ruff Endz","2000"
"4041","40","All The Small Things","Blink 182","2000"
"4042","41","The Way You Love Me","Faith Hill","2000"
"4043","42","I Turn To You","Christina Aguilera","2000"
"4044","43","Never Let You Go","Third Eye Blind","2000"
"4045","44","I Need You","LeAnn Rimes","2000"
"4046","45","Thank God I Found You","Mariah Carey featuring Joe and 98 Degrees","2000"
"4047","46","Let's Get Married","Jagged Edge","2000"
"4048","47","My Love Is Your Love","Whitney Houston","2000"
"4049","48","Then The Morning Comes","Smash Mouth","2000"
"4050","49","Blue (Da Ba Dee)","Eiffel 65","2000"
"4051","50","Desert Rose","Sting featuring Cheb Mami","2000"
"4052","51","The Real Slim Shady","Eminem","2000"
"4053","52","Most Girls","Pink","2000"
"4054","53","Wifey","Next","2000"
"4055","54","Wonderful","Everclear","2000"
"4056","55","Oops!... I Did It Again","Britney Spears","2000"
"4057","56","I Wanna Love You Forever","Jessica Simpson","2000"
